site,division,category,line,model_name,recipe_group,uniqueid,product_code,model_complete,char_name,char_time,char_value
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_2.Medicion.duration,2023-02-13 03:09:10,5755.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_2.Medicion.duration,2023-02-13 06:13:05,9365.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_2.Medicion.duration,2023-02-13 20:31:30,19245.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_2.Medicion.duration,2023-02-13 22:34:45,11850.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_2.Medicion.duration,2023-02-14 03:34:05,5350.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.duration,2023-02-11 10:19:15,10.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.duration,2023-02-11 13:03:05,27985.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.duration,2023-02-11 23:45:50,16935.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.duration,2023-02-12 06:45:25,3345.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.duration,2023-02-12 09:21:50,21430.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.duration,2023-02-12 18:21:05,5420.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.duration,2023-02-12 21:44:40,5460.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.duration,2023-02-13 01:54:20,4260.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.duration,2023-02-13 04:45:05,5055.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.duration,2023-02-13 08:49:10,16865.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.duration,2023-02-14 01:52:15,6100.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.duration,2023-02-14 05:03:15,3855.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Peso_avg,2023-02-11 10:19:15,0.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Peso_avg,2023-02-11 13:03:05,4504.4478
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Peso_avg,2023-02-11 23:45:50,5678.35
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Peso_avg,2023-02-12 06:45:25,29858.371
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Peso_avg,2023-02-12 09:21:50,4409.238
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Peso_avg,2023-02-12 18:21:05,21274.807
